year,month,price,cages,localities,numberSalmon,biomass,feedConsumption,restock,withdrawals
2005,January,23.1,3505,536,183470.47,347620.01,43207.03,724.56,37043.21
2005,February,24.96,3292,509,171193.09,329262.02,34078.72,696.99,39350.64
2005,March,24.72,3051,469,158341.67,299284.12,31654.72,1651.4,40247.81
2005,April,25.15,3126,498,170128.68,285228.46,32479.38,21121.76,42030.69
2005,May,25.45,3654,547,205716.98,294085.13,45941.36,44111.12,37844.26
2005,June,27.11,3854,541,214373.15,294642.07,59445.74,22804.21,41992.27
2005,July,28.79,3807,520,206174.89,326314.41,82325.98,4481.43,40054.41
2005,August,27.95,3797,519,203575.84,369040.23,97611.34,5893.72,42139.07
2005,September,26.64,3853,532,211249.2,388109.34,94792.85,20262.3,51331.49
2005,October,26.61,3951,559,220906.51,402946.45,85304.2,20043.57,54745.94
2005,November,26.1,3747,558,213372.63,405097.66,69600.1,4280.03,60185.97
2005,December,27.78,3560,534,201371.35,383559.93,52910.91,1420.75,61726.22
2006,January,26.76,3352,501,188655.26,367042.56,38830.28,0,46452.35
2006,February,27.03,3241,491,181212.64,352428.75,34927.68,764.74,42586.59
2006,March,30.66,2979,465,169678.41,323848.18,33371.79,2332.6,52085.47
2006,April,34.67,3079,501,183609.32,311002.12,36188.24,21238.37,37250.05
2006,May,37.69,3518,547,217611.01,312056.36,50069.36,42077.51,43316.08
2006,June,41.56,3769,538,225719.65,324567.27,65678.11,20619.66,40930.77
2006,July,38.44,3796,532,221645.16,364751.62,91685.42,6303.73,38893.99
2006,August,36.32,3771,538,220091.95,413708.28,107906.1,6827.22,42697.36
2006,September,30.61,3856,566,230582.24,444754.95,106188.32,23785.7,52749.72
2006,October,28.65,4069,584,247433.5,469324.78,99494.87,27939.73,63515.17
2006,November,27.61,4031,582,243271.85,466108.67,81905.99,10475.09,71831.03
2006,December,27.85,3866,569,235138.78,461615.49,67565.28,2778.89,63002.35
2007,January,28.43,3680,548,222688.65,445840.01,57229.59,642.36,60127.52
2007,February,28.58,3487,518,213555.54,436003.01,45504.71,451.53,50483.71
2007,March,28.87,3384,504,206233.62,410548.48,48462.93,6782.71,61539.83
2007,April,28.7,3506,553,224336.3,402687.47,51360.28,27218.98,53400.08
2007,May,26.68,3887,607,258256.36,394756.04,61760.12,49547.19,64504.92
2007,June,25.34,3914,587,257697.8,379092.86,70064.12,17904.1,62269.11
2007,July,25.17,3868,556,251534.72,404273.54,97070.37,7726.89,54276.32
2007,August,27.69,3813,557,248077.51,449235.25,120059.92,10550.45,55772.87
2007,September,25.82,3884,579,260141.81,481806.48,115495.99,27277,57836.77
2007,October,24.24,3957,597,274391.36,501131.39,112394.62,30161.55,71366.39
2007,November,24.37,3961,595,279817.13,501694.17,87293.76,18014.47,77154.47
2007,December,25.67,3752,563,265032.99,482717.07,64914.25,3529.23,60630.72
2008,January,25.99,3498,534,248683.3,462279.18,55095.42,223.1,58640.35
2008,February,25.55,3316,508,238188.77,442691.79,49934.55,909.81,52249.33
2008,March,26.76,3073,488,225106.16,419395.22,46312.16,2442.69,65529.24
2008,April,25.89,3104,518,233511.58,399575.6,46885.36,21332.91,62635.63
2008,May,26.84,3616,571,279753.36,390209.67,60727.07,59768.88,63596.24
2008,June,26.48,3716,554,289365.56,385747.57,74030.81,29790.79,68526.67
2008,July,28.69,3721,544,283065.59,411299.66,101399.66,10407.71,65702.96
2008,August,28.58,3678,551,280018.97,455620.5,122203.15,14448.62,74116.47
2008,September,28.16,3882,580,299624.57,491549.46,124784.15,35883.35,83372.17
2008,October,26.88,4052,606,317494.07,524243.54,122840.5,33938.06,85799.69
2008,November,26.43,3984,592,309255.87,522917.34,100391.28,13593.42,90691.18
2008,December,27.32,3859,575,300118.69,524799.37,83358.66,3134.28,89010.24
2009,January,28.61,3657,541,285665.25,515278.59,65947.95,175.8,58640.35
2009,February,28.32,3483,510,273008.2,495694.42,50935.89,1348.64,52014.92
2009,March,30.38,3319,499,258735.54,463211.62,49322.4,5270.2,65283.93
2009,April,32,3387,535,269318.71,444679.09,53111.16,25415.22,62489.63
2009,May,35.06,3845,589,315611.2,448708.14,72157.95,56013.44,62920.91
2009,June,35.13,3921,579,318290.53,459083.32,94123.68,22522.1,68526.67
2009,July,36.66,3877,558,312539.75,505432.09,130597.55,11700.78,65272.09
2009,August,30.29,3832,566,311205.69,550198.58,149370.37,19073.08,73274.81
2009,September,29.49,3997,606,331207.18,590610.33,145268.29,37791.49,82520.93
2009,October,27.13,4057,612,343164.76,620009.29,141535.92,32042.24,85287.38
2009,November,28.27,3974,598,332426.52,626324.14,121882.89,8499.37,89413.72
2009,December,29.04,3774,564,314450.76,614201.53,97035.93,2124.34,87889.61
2010,January,29.53,3524,524,297228.12,589887.98,68882.45,6.6,70024.33
2010,February,32.77,3470,514,291050.02,577570.76,55015.4,4193.89,63958.83
2010,March,35.43,3262,508,278393.78,535748.59,55574.25,7683.6,79863.81
2010,April,38.33,3371,550,285712.98,509089.8,56208.63,26591.46,62651.56
2010,May,39.62,3759,595,332420.5,506430.4,77650.06,59616.24,70746.96
2010,June,38.54,3751,566,323845.67,491000.42,95126.74,20036.29,80426.85
2010,July,39.65,3745,546,316365.94,521847.24,132774.79,13140.16,70647.41
2010,August,39.63,3762,565,318963.98,568497.43,152608.41,23163.46,71001.97
2010,September,37.56,3916,603,335569.06,609334.99,153592.01,38110.25,84655.86
2010,October,37.18,4180,621,358113.97,635860.24,145245.54,39420.74,86269.34
2010,November,35.99,4066,607,352564.31,639139.99,121556.99,16102.57,93309.65
2010,December,41.29,3933,587,335955.8,624304.41,89106.82,1425.49,83761.23
2011,January,39.81,3764,559,321582.8,604745.91,68000.78,0,71942.95
2011,February,40.01,3597,532,306245.98,580949.35,55233.18,1775.77,64878.59
2011,March,40.83,3419,518,291590.24,546209.11,54279.32,2062.68,76729.19
2011,April,42.41,3507,570,298772.77,523268.39,56849.93,25031.11,61007.44
2011,May,40.52,3887,632,359169.83,515541.29,83285.07,73338.37,80879.05
2011,June,34.31,3960,620,363429.78,517769.79,104154.84,28478.14,83127.84
2011,July,30.78,3823,577,353571.79,554226.06,143652.01,12198.93,73958.83
2011,August,29.21,3860,593,358195.71,614285.36,174658.58,26259.26,83834.26
2011,September,26.87,4084,647,389351.55,665014.7,179961.71,50980.61,94503.31
2011,October,24.07,4149,646,402948.15,690048.67,158842.93,34450.29,100336.1
2011,November,24.24,4023,632,389543.88,697346.95,138974.61,9661.03,108309.53
2011,December,26.75,3784,594,364829.39,681980.21,111641.58,1033.69,101264.22
2012,January,25.84,3636,567,347943.25,678842.26,95859.99,0,83382.57
2012,February,27.26,3405,533,329404.59,657362.95,78639.96,1653.91,76286.87
2012,March,28.81,3242,528,317757.55,625642.04,80036.46,5462.5,101812.26
2012,April,28.63,3399,581,341996.56,599443.58,73721.58,38659.74,80144.53
2012,May,29.57,3754,615,380993.56,590049.91,91843.85,54717.94,94106.24
2012,June,27.21,3864,605,376942.55,575786.61,113893.38,19798.4,102409.8
2012,July,26.97,3750,572,365263.38,609704,156523.63,11322.6,96952.49
2012,August,27.47,3862,594,371166.04,669762.83,192146.61,26135.84,102450.8
2012,September,27.65,4079,644,394639.54,707158.64,182553.53,49288.54,105223.92
2012,October,25.27,4156,639,402262.45,727893.1,172588.48,35721.71,118361.83
2012,November,26.8,4063,626,383978.34,723931.73,142922.37,6337.51,113986.62
2012,December,29.37,3872,588,364336.68,708518.07,109275.12,3038.95,98679.92
2013,January,34.21,3672,561,347214.39,687178.43,86302.87,1884.54,89174.4
2013,February,35.69,3491,535,332244.72,659301.24,62579.95,681.23,74545.4
2013,March,37.87,3331,521,320139.88,616657.29,58240.09,7424.64,85337.33
2013,April,40.95,3400,545,334318.38,580228.76,59866.55,30506.02,85559.46
2013,May,42.86,3705,592,370248.15,555800.9,81518.12,53388.19,90286.24
2013,June,40.38,3876,581,393008.62,574555.32,114967.4,39952.37,81147.17
2013,July,44.23,3816,562,379346.29,612385.56,161278.52,11329.32,87492.57
2013,August,41.51,3903,590,386422.35,677375.04,197004.54,28603.98,93936.14
2013,September,34.67,4006,641,406540.5,708590.15,188743.94,47958.64,112955.73
2013,October,36.32,4140,627,419156.27,729621.49,179114.25,40310.89,122900.07
2013,November,38.79,3964,603,400552.23,729983.5,145066.54,6755.01,113298.5
2013,December,46.21,3815,571,379869.88,726350.58,121104.47,1696.88,99588.4
2014,January,49.69,3605,556,359308.45,717168.97,102766.8,691.97,92484.01
2014,February,47.77,3411,527,340270.62,701409.21,84647.57,769.16,78959.71
2014,March,44.57,3320,532,333446.67,669836.98,82442.15,11281.42,97549.31
2014,April,45.16,3409,574,349723.28,637319.02,82645.2,35770.89,99800.48
2014,May,41.95,3731,593,385645.78,620945.85,98984.82,57997.55,99436.9
2014,June,37.39,3717,573,383405.07,608332.59,121106.4,25738.57,106075.24
2014,July,39.59,3641,561,378139.42,636112.25,160711.92,20435.54,98191.63
2014,August,36.75,3795,599,393545.38,688996.57,184344.2,34345.49,102921.1
2014,September,34.85,4017,627,418787.79,731858.68,191080.88,51670.34,115593.47
2014,October,35.25,3990,607,420618.54,742662.14,178472.2,34598.28,121749.31
2014,November,39.07,3895,590,406135.22,759239.83,156869.51,7494.78,106291.64
2014,December,44.72,3755,570,386057.07,760608.07,129369.72,632.76,101361.24
2015,January,45.82,3562,546,365676.29,748306.94,109459.11,1749.8,91851.4
2015,February,42.42,3352,530,344243.2,722951.84,86701.52,1572.61,85659.45
2015,March,41.01,3189,520,330542.62,676979.77,87614.32,9075.13,111079.42
2015,April,40.39,3391,563,357345.59,651237.9,84920.27,39789.59,100733.48
2015,May,38.65,3685,591,387906.34,625114.34,94545.16,52792.01,97900.43
2015,June,40.29,3715,571,388153.82,604698.31,112219.59,24281.13,104579.19
2015,July,43.03,3634,564,386648.35,630016.41,152022.95,21963.27,92973.03
2015,August,44.92,3701,590,395716.14,683583.95,186930.57,35217.84,99683.12
2015,September,41.67,3846,621,415558.16,705079.16,181735.24,49325.72,116555.28
2015,October,41.57,3978,603,422707.29,719002,177400.71,37956.05,119680.7
2015,November,43.26,3828,591,405427.08,724343.89,153730.23,11480.02,112938.35
2015,December,50.38,3637,563,383820.66,721597.26,126324.27,2182.7,102943.51
2016,January,56.94,3455,536,365407.81,708160.23,101042.9,1908.86,87668.88
2016,February,52.94,3257,516,343837.25,686122.69,85142.45,1502.95,86087.91
2016,March,58.77,3191,530,337209.9,654365.97,82087.55,13893.97,96610.77
2016,April,58.45,3332,542,353585.47,621418.49,77419.12,33067.22,96240.41
2016,May,59.84,3566,560,386502.56,603083.52,94800.36,49827.65,95377.24
2016,June,63.7,3591,549,389728.6,606427.32,114355.99,22777.28,85817.35
2016,July,67.87,3537,558,385374.16,650215.69,159361.88,17469.84,82256.78
2016,August,58.58,3627,590,395811,685508.9,189052,38099.76,108952.6
2016,September,54.74,3799,611,416700.9,714151.92,189925.8,52308.12,120477.03
2016,October,58.85,3849,595,424065.04,740199.75,173373.6,35891.37,109251.01
2016,November,61.44,3751,580,407096.96,741912.42,151391.09,10812.29,113805.67
2016,December,67.3,3625,560,385257.02,740446.9,126077.28,2876.96,97287.89
